Ativo	Movimentação	Data	Quantidade	Preço unit	Preço Total (R$)
GGRC11	Compra	19/11/2018	5	129,00	645,00
GGRC11	Compra	12/03/2018	10	129,00	1.290,00
GGRC11	Compra	14/12/2018	10	129,88	1.298,80
ABCP11	Compra	02/02/2019	44	87,10	3.832,40
GGRC11	Compra	03/11/2019	14	116,70	1.633,80
VRTA11	Compra	29/03/2019	14	136,68	1.913,52
BRCR11	Compra	15/04/2019	26	92,89	2.415,14
FIIB11	Compra	15/05/2019	10	448,49	4.484,90
MFII11	Compra	15/05/2019	42	110,20	4.628,40
KNIP11	Compra	17/05/2019	30	112,87	3.386,10
VRTA11	Compra	17/05/2019	23	136,34	3.135,82
KNCR11	Compra	17/05/2019	45	103,93	4.676,85
BCRI11	Compra	05/06/2019	30	116,29	3.488,70
BRCR11	Compra	05/06/2019	38	91,20	3.465,60
PQDP11	Compra	05/06/2019	1	3.139,99	3.139,99
RCRB11	Compra	26/06/2019	1	169,45	169,45
RCRB11	Compra	05/07/2019	20	172,29	3.445,80
FIIB11	Compra	05/07/2019	2	470,98	941,96
ABCP11	Compra	05/07/2019	3	108,69	326,07
ABCP11	Compra	15/07/2019	43	103,50	4.450,50
HGLG11	Compra	15/07/2019	38	153,30	5.825,40
HGRE11	Compra	15/07/2019	28	164,60	4.608,80
GGRC11	Compra	29/07/2019	31	142,90	4.429,90
KNRI11	Compra	29/07/2019	25	152,30	3.807,50
FIIB11	Compra	29/07/2019	8	514,93	4.119,44
PQDP11	Compra	29/07/2019	1	3.400,00	3.400,00
RCRB11	Compra	29/07/2019	25	171,39	4.284,75
ABCP11	Compra	15/08/2019	30	89,00	2.670,00
KNIP11	Compra	15/08/2019	25	113,95	2.848,75
KNCR11	Compra	15/08/2019	25	103,89	2.597,25
BRCR11	Compra	15/08/2019	38	96,32	3.660,16
VRTA11	Compra	20/01/2020	7	138,70	970,90
HGRE11	Compra	19/02/2020	28	190,31	5.328,68
HGBS11	Compra	19/02/2020	15	283,24	4.248,60
HGLG11	Compra	21/02/2020	30	179,09	5.372,70
BCRI11	Compra	21/02/2020	40	115,68	4.627,20
FIIB11	Compra	27/02/2020	10	535,57	5.355,74
HGRE11	Compra	27/02/2020	28	176,43	4.939,92
HGBS11	Compra	16/03/2020	15	231,5	3.472,50
KNRI11	Compra	16/03/2020	20	150,99	3.019,80
RCRB11	Compra	15/05/2020	14	166,9779	2.337,69
HGBS11	Compra	27/05/2020	8	198,5	1.588,00
HGRE11	Compra	27/05/2020	9	141,15	1.270,35
HGBS11	Compra	30/06/2020	5	213	1.065,00
XPLG11	Compra	14/07/2020	8	125,87	1.006,96
MXRF11	Compra	14/07/2020	55	10,89	598,95
MXRF11	Compra	14/08/2020	120	10,5	1.260,00
MXRF11	Compra	15/10/2020	120	10,66	1.279,20
MFII11	Compra	16/03/2020	13	119,24	1.550,12
MFII11	Compra	19/04/2021	50	120,50	6.025,00
HGRU11	Compra	19/04/2021	10	123,17	1.231,70
VISC11	Compra	19/04/2021	15	108,30	1.624,50
VILG11	Compra	26/04/2021	7	117,44	822,08
XPIN11	Compra	26/04/2021	7	109,70	767,90
JSRE11	Compra	26/04/2021	9	92,65	833,85
XPML11	Compra	26/04/2021	7	106,37	744,59
MXRF11	Compra	14/05/2021	120	10,52	1.262,40
GGRC11	Compra	14/05/2021	10	120,18	1.201,80
XPML11	Compra	14/05/2021	12	104,37	1.252,44
XPIN11	Compra	14/05/2021	10	108,20	1.082,00
JSRE11	Compra	14/05/2021	14	89,95	1.259,30
BCRI11	Compra	15/06/2021	12	112,39	1.348,68
MXRF11	Compra	15/06/2021	120	10,40	1.248,00
HGRU11	Compra	06/10/2023	7	129,95	909,64
BCRI11	Compra	06/10/2023	12	69,16	829,92
VISC11	Compra	06/10/2023	8	116,88	935,04
XPML11	Compra	06/10/2023	8	111,32	890,56
KNCR11	Compra	13/10/2023	24	100,95	2.422,80
MFII11	Compra	13/10/2023	20	92,76	1.855,20
BCRI11	Compra	13/10/2023	32	68,73	2.199,36
MXRF11	Compra	13/10/2023	150	10,98	1.647,00
HGRU11	Compra	01/02/2024	7	137,70	963,90
VISC11	Compra	26/02/2024	31	121,81	3.776,11
GGRC11	Desdobramento 	06/03/2024	720	0,00	0,00
XPML11	Compra	08/03/2024	8	118,45	947,60
HGRU11	Compra	15/03/2024	35	136,38	4.773,30
XPML11	Compra	15/03/2024	40	117,73	4.709,20
MFII11	Compra	15/03/2024	43	104,49	4.493,07
ALZR11	Compra	07/05/2024	8	116,89	935,12
ALZR11	Compra	07/05/2024	10	117,18	1.171,80
KNSC11	Compra	07/05/2024	240	9,07	2.176,80
VISC11	Compra	15/05/2024	20	121,11	2.422,20
VILG11	Compra	15/05/2024	30	90,43	2.712,90
XPLG11	Compra	12/07/2024	20	104,03	2.080,60
MXRF11	Compra	12/07/2024	240	10,19	2.445,60
HGRU11	Compra	20/08/2024	40	127,48	5.099,20
VISC11	Compra	20/08/2024	45	112,76	5.074,20
XPML11	Compra	20/08/2024	45	111,29	5.008,05
GGRC11	Compra	20/08/2024	480	10,89	5.227,20
HGLG11	Compra	20/08/2024	32	161,45	5.166,40
ALZR11	Desdobramento	06/05/2025	162	0,00	0,00
HGBS11	Desdobramento	12/05/2025	747	0,00	0,00
KNCR11	Compra	24/06/2025	30	104,23	3.126,90
XPIN11	Venda	06/07/2026	-17	62,10	-1.055,70
-					
IVVB11	Compra	15/05/2018	70	105,75	7.412,50
IVVB11	Compra	18/06/2018	10	109,94	1.109,40
IVVB11	Compra	03/07/2018	10	113,08	1.130,80
IVVB11	Compra	13/07/2018	10	114,46	1.144,60
IVVB11	Compra	15/08/2018	10	116,02	1.170,20
IVVB11	Compra	03/09/2018	10	125,15	1.261,50
IVVB11	Compra	17/09/2018	10	128,45	1.294,50
IVVB11	Compra	16/10/2018	10	108,83	1.088,30
-					
AAPL	Compra	10/10/2018	1	837,26	837,26
ALGN	Compra	18/10/2018	1,000	1.218,37	1.218,37
AMZN	Compra	18/10/2018	0,145	6.697,93	971,20
DIS	Compra	18/10/2018	1,000	430,47	430,47
FFIV	Compra	18/10/2018	1,000	636,57	636,57
ILMN	Compra	10/10/2018	0,300	1.168,80	350,64
IPGP	Compra	18/10/2018	1,000	512,49	512,49
JNJ	Compra	10/01/2018	1,000	573,28	573,28
MA	Compra	18/10/2018	1,000	760,03	760,03
MNST	Compra	10/01/2018	2,000	237,11	474,21
ROST	Compra	10/01/2018	1,000	411,50	411,50
TXN	Compra	18/10/2018	1,000	373,40	373,40
V	Compra	18/10/2018	1,000	522,84	522,84
ROL	Compra	10/10/2018	3,000	214,71	644,12
ROL	Desdobramento 	08/11/2018	1,500	0,00	0,00
DIS	Compra	09/04/2019	1,000	115,53	452,88
ILMN	Compra	09/04/2019	0,700	322,50	884,94
JNJ	Compra	09/04/2019	1,000	135,10	529,59
MNST	Compra	09/04/2019	3,000	53,49	629,04
ROST	Compra	09/04/2019	1,000	97,54	382,36
TXN	Compra	09/04/2019	1,000	113,83	446,21
TXN	Compra	10/05/2019	1	110,29	436,75
ROST	Compra	10/05/2019	1	95,35	377,59
ROL	Compra	10/05/2019	3,5	125,76	498,01
IPGP	Compra	10/05/2019	1	149,46	591,86
FFIV	Compra	10/05/2019	1	143,69	569,01
AAPL	Compra	10/05/2019	1	193,85	767,65
MA	Compra	10/05/2019	1	242,26	959,35
V	Compra	10/05/2019	1	158,12	626,16
IPGP	Compra	20/05/2019	1	134,73	559,13
DIS	Compra	20/05/2019	1	134,24	557,10
AMZN	Compra	20/05/2019	0,14	259,99	1.078,96
JNJ	Compra	20/05/2019	1	139,33	578,22
FFIV	Compra	20/05/2019	1	141,69	588,01
ROST	Compra	20/05/2019	1	96,17	399,11
ROL	Compra	20/05/2019	5	187,75	779,16
ILMN	Compra	20/05/2019	1	308,97	1.282,23
V	Compra	05/06/2019	2	329,82	1.283,00
HD	Compra	05/06/2019	2	392,00	1.524,88
ALGN	Compra	05/06/2019	1	301,83	1.174,12
MNST	Compra	05/06/2019	4	256,07	996,11
TXN	Compra	25/07/2019	2,000	256,10	978,30
JNJ	Compra	25/07/2019	2,000	260,58	995,42
AAPL	Compra	25/07/2019	1,000	208,29	795,67
ROST	Compra	25/07/2019	2,000	210,48	804,03
DIS	Compra	25/07/2019	2,000	283,08	1.081,37
HD	Compra	25/07/2019	1,000	215,00	821,30
IPGP	Compra	25/07/2019	2,000	283,96	1.084,73
ROL	Compra	25/07/2019	8,000	270,08	1.031,71
FFIV	Compra	25/07/2019	2,000	293,20	1.120,02
ALGN	Compra	25/07/2019	0,600	124,74	476,51
ROL	Compra	07/01/2020	1,000	32,96	134,48
MSFT	Compra	09/05/2019	0,20	29,79	117,97
NVDA	Compra	09/05/2019	0,50	88,59	350,82
MSFT	Compra	25/06/2019	5,30	721,67	2.836,16
NVDA	Compra	25/06/2019	3,50	547,82	2.152,93
PYPL	Compra	16/07/2019	5,80	706,97	2.648,52
GOOGL	Compra	16/07/2019	0,50	580,82	2.175,93
GOOGL	Compra	15/08/2019	0,50	588,66	2.431,17
MSFT	Compra	15/08/2019	4,00	539,44	2.227,89
NVDA	Compra	15/08/2019	4,00	609,92	2.518,97
PYPL	Compra	15/08/2019	6,20	648,44	2.678,06
ADBE	Compra	29/08/2019	2,00	573,42	2.385,43
COST	Compra	29/08/2019	2,00	593,20	2.467,71
HRL	Compra	29/08/2019	8,00	339,94	1.414,15
MKTX	Compra	29/08/2019	1,00	403,75	1.679,60
PAYX	Compra	29/08/2019	5,00	413,45	1.719,95
HRL	Compra	26/11/2019	1,00	46,09	195,88
MA	Compra	27/05/2020	1,000	296,98	1.312,65
CSCO	Compra	14/07/2020	13,000	45,96	3.333,94
JPM	Compra	14/07/2020	3,000	99,06	1.658,26
BRK.B	Compra	14/07/2020	2,000	186,72	2.083,80
META	Compra	14/07/2020	1,000	233,33	1.301,98
POOL	Compra	14/07/2020	1,000	277,02	1.545,77
AAPL	Desdobramento 	31/08/2020	9	0,00	0,00
ROL	Desdobramento 	11/12/2020	11	0,00	0,00
MNST	Compra	19/04/2021	5,000	97,37	2.742,30
MKTX	Compra	19/04/2021	1,000	540,32	3.043,51
TXN	Compra	19/04/2021	3,000	190,77	3.223,69
AMZN	Compra	19/04/2021	0,215	3.430,00	4.153,91
ADBE	Compra	07/06/2021	2,000	508,01	5.143,09
IPGP	Compra	07/06/2021	3,000	207,53	3.151,55
ROL	Compra	07/06/2021	21,000	32,72	3.478,20
ROST	Compra	07/06/2021	5,000	118,12	2.989,62
META	Compra	07/06/2021	2,000	335,81	3.399,74
AAPL	Compra	07/06/2021	5,000	125,22	3.169,32
NVDA	Desdobramento 	20/07/2021	24,00	0,00	0,00
COST	Compra	11/06/2021	2,000	381,60	3.864,46
JNJ	Compra	11/06/2021	4,000	165,45	3.351,02
MKTX	Compra	11/06/2021	1,000	443,01	2.243,18
POOL	Compra	11/06/2021	2,000	429,50	4.349,55
HRL	Compra	11/06/2021	12,000	48,49	2.946,35
MNST	Compra	11/06/2021	5,000	93,49	2.366,93
DIS	Compra	11/06/2021	2,000	176,90	1.791,47
AMZN	Desdobramento 	06/06/2022	9,500	0,00	0,00
GOOGL	Desdobramento 	18/07/2022	19,000	0,00	0,00
MNST	Desdobramento 	28/03/2023	19,000	0,00	0,00
HD	Compra	02/10/2023	2,00	1.514,95	3.029,90
PAYX	Compra	02/10/2023	4,00	573,27	2.293,08
BRK.B	Compra	02/10/2023	1,00	1.744,95	1.744,95
V	Compra	02/10/2023	2,50	1.151,85	2.879,62
JPM	Compra	03/01/2024	1,000	835,14	835,14
NVDA	Desdobramento 	10/06/2024	288,00	0,00	0,00
JPM	Compra	02/07/2024	1,000	1.172,19	1.172,19
JPM	Compra	20/08/2024	2	1.164,15	2.328,29
MA	Compra	20/08/2024	2	2.536,23	5.072,46
BRK.B	Compra	10/02/2025	2	2.733,30	5.466,59
GOOGL	Compra	10/02/2025	7	1.074,53	7.521,72
FFIV	Compra	10/02/2025	4	1.780,56	7.122,22
-					
LTC	Compra	12/02/2020	6,00	48,14	1.252,58
O	Compra	12/02/2020	3,00	78,57	1.022,18
PLD	Compra	12/02/2020	2,00	97,17	842,77
PSA	Compra	12/02/2020	1,00	228,71	991,82
PLD	Compra	27/05/2020	1,00	91,16	496,25
O	Compra	27/05/2020	3,00	55,97	914,05
AMT	Compra	01/07/2020	1,00	260,55	1.427,81
ESS	Compra	01/07/2020	1,00	234,62	1.285,72
FRT	Compra	01/07/2020	4,00	86,73	1.901,12
LTC	Compra	01/07/2020	2,00	38,61	423,17
LTC	Compra	01/10/2020	1,00	35,01	197,46
AMT	Compra	10/12/2020	1,00	221,29	1.161,77
ESS	Compra	10/12/2020	1,00	250,61	1.315,70
FRT	Compra	10/12/2020	1,00	90,38	474,50
LTC	Compra	10/12/2020	4,00	38,55	809,55
O	Compra	10/12/2020	3,00	60,15	947,36
PLD	Compra	10/12/2020	1,00	97,55	512,14
PSA	Compra	10/12/2020	1,00	219,97	1.154,84
DLR	Compra	22/01/2021	1,00	141,00	790,88
EXR	Compra	22/01/2021	2,00	115,00	1.284,83
NNN	Compra	22/01/2021	4,00	39,82	892,33
WPC	Compra	22/01/2021	3,00	66,14	1.109,56
PLD	Compra	19/04/2021	3,00	111,14	1.878,07
LTC	Compra	07/01/2022	1,00	35,88	203,63
DLR	Compra	07/01/2022	1,00	160,19	909,13
EXR	Compra	18/07/2022	1,00	169,84	917,37
PSA	Compra	19/07/2022	1,00	310,42	1.665,71
STAG	Compra	19/07/2022	9,00	30,09	1.453,17
NNN	Compra	09/08/2022	1,00	49,21	252,19
NNN	Compra	03/11/2022	2,00	214,09	428,17
NNN	Compra	14/02/2023	2,00	240,45	480,91
FRT	Compra	01/05/2023	1,00	489,37	489,37
ADC	Compra	16/06/2023	6,00	320,23	1.921,36
EGP	Compra	16/06/2023	2,00	854,88	1.709,76
ELS	Compra	16/06/2023	5,00	333,17	1.665,83
FRT	Compra	16/06/2023	3,00	463,96	1.391,88
NNN	Compra	16/06/2023	7,00	207,52	1.452,64
WPC	Compra	16/06/2023	5,00	343,26	1.716,32
WPC	Compra	14/07/2023	7,00	334,52	2.341,61
EXR	Compra	14/07/2023	3,00	741,93	2.225,79
O	Compra	14/07/2023	8,00	291,81	2.334,45
STAG	Compra	14/07/2023	12,00	181,15	2.173,82
PSA	Compra	14/07/2023	2,00	1.438,64	2.877,28
LTC	Compra	14/07/2023	3,00	163,86	491,57
FRT	Compra	17/08/2023	5,00	488,91	2.444,55
NNN	Compra	17/08/2023	14,00	193,66	2.711,28
WPC	Compra	03/10/2023	7,00	268,48	1.879,33
EXR	Compra	03/10/2023	3,00	603,87	1.811,62
PLD	Compra	03/10/2023	3,00	550,51	1.651,53
DLR	Compra	03/10/2023	3,00	598,37	1.795,10
LTC	Compra	03/10/2023	16,00	158,99	2.543,78
STAG	Compra	06/03/2024	25,00	187,01	4.675,25
PLD	Compra	12/04/2024	2,00	613,88	1.227,75
LTC	Compra	10/02/2025	1,00	208,64	208,64
ADC	Compra	25/03/2025	1,00	435,23	435,23
ADC	Compra	08/04/2025	1,00	423,62	423,62
LTC	Compra	12/06/2025	4,00	196,95	787,81
LTC	Compra	24/07/2025	3,00	198,10	594,30
O	Compra	22/09/2025	2,00	313,51	627,01
ELS	Compra	24/10/2025	1,00	331,39	331,39
NNN	Compra	24/10/2025	1,00	241,04	241,04
NNN	Compra	16/12/2025	1,00	233,55	233,55
ADC	Compra	16/12/2025	1,00	388,13	388,13
ADC	Compra	05/02/2026	1,50	399,93	599,89
ELS	Compra	23/03/2026	1,40	349,76	489,67
ELS	Compra	16/04/2026	2,00	320,87	641,74
EGP	Compra	16/06/2026	0,60	1.034,55	620,73
